Fabrice Le Vigoureux,et Léonie Angot-Hastain,Ensemble !,Calvados - 1ère,30.25%
Jean-Pierre PONT,et Sandrine DERAM,Ensemble !,Pas-De-Calais - 5ème,24.93%
NADIA BELAOUNI,et MATTHIEU BRABANT,NUPES,Herault - 9ème,27.69%
Christian Jolie,et Céline CARLE-FAYE,NUPES,Ain - 3ème,22.36%
Blandine Brocard,et HUGO BOUCHERON,Ensemble !,Rhone - 5ème,36.12%
Jean Jacques GAULTIER,et Carole Thiebaut,Les républicains,Vosges - 4ème,21.50%
Elsa Bougeard,et Sylvain Le Guilloux,NUPES,Lot - 1ère,22.26%
thierry grossemy,et patricia gontier,NUPES,Lot - 2ème,23.73%
Thomas RUDIGOZ,et Laetitia Patriarca,Ensemble !,Rhone - 1ère,32.96%
Sereine Mauborgne,et Alain Parlanti,Ensemble !,Var - 4ème,28.00%
Tom Dubois-Robin,et Laurie Etchepare,NUPES,Pyrenees-Atlantiques - 6ème,19.55%
Fabienne Colboc,et Sylvia Pascaud-Gaurier,Ensemble !,Indre-Et-Loire - 4ème,30.00%
"Sébastie, Peytavie",et Chalard Emilie,NUPES,Dordogne - 4ème,26.09%
Sabine Thillaye,et Abel Pires,Ensemble !,Indre-Et-Loire - 5ème,29.15%
Loïc Prud'homme,et Marlène Tchikaya,NUPES,Gironde - 3ème,45.00%
Patricia MIRALLES,et Philippe SOREZ,Ensemble !,Herault - 1ère,24.83%
Eric Bothorel,et Katell LE GALL,Ensemble !,Cotes-D'armor - 5ème,31.00%
Olivier FALORNI,et Sabine GERVAIS,Divers gauche,Charente-Maritime - 1ère,29.02%
Yolande Bouin,et Alexis Lapert,NUPES,Finistere - 7ème,29.99%
Sarah Tanzilli,et Jean-Pierre Jourdain,Ensemble !,Rhone - 13ème,28.44%
David Valence,et Charline Prince,Ensemble !,Vosges - 2ème,30.10%
Zahia HAMDANE,et Laure VINCENT,NUPES,Somme - 2ème,30.00%
Roxana Maracineanu,et Yacine Ladjici,Ensemble !,Val-De-Marne - 7ème,24.00%
Stéphane VIRY,et Cédric HAXAIRE,Les républicains,Vosges - 1ère,37.20%
Alice Assier,et Bernard Neveu,NUPES,Haute-Garonne - 10ème,33.16%
Pierre Smolarz,et Emmanuelle Vacher,NUPES,Finistere - 3ème,29.00%
Nordine Raymond,et Anne Jay,NUPES,Charente-Maritime - 2ème,27.00%
Bertrand BOUYX,et David LEMARESQUIER,Ensemble !,Calvados - 5ème,27.85%
Valérie Soumaille,et Aladin Lévêque,NUPES,Vienne - 2ème,34.40%
Philippe BRUN,et Lisa Moreau,NUPES,Eure - 4ème,27.78%
Eric Deligny,et Nathalie Colomban,NUPES,Bouches-Du-Rhone - 8ème,19.41%
David YTIER,et Sylvie Miceli-Houdais,Les républicains,Bouches-Du-Rhone - 8ème,14.93%
Quentin Dogon,et CÉCILE CASEY,NUPES,Isere - 8ème,22.88%
Fatima Bellaredj,et Jacqueline Markovic,Divers gauche,Herault - 2ème,11.94%
Beatrice Pierrat,et Gilles Bilot,NUPES,Vosges - 3ème,17.68%
Luc Blanchard,et Marie Liégeois,NUPES,Oise - 5ème,21.33%
elodie heren,et Claude RÉMY,NUPES,Somme - 4ème,19.32%
Julien Duruisseau,et Esteban Evrard,NUPES,Ardennes - 1ère,18.48%
Arnaud Delcasse,et Claire Petit,Divers gauche,Alpes-Maritimes - 7ème,2.09%
Benoit Potterie,et Véronique Diers,Ensemble !,Pas-De-Calais - 8ème,21.36%
Noé Petit,et Emma Gillion,NUPES,Loir-Et-Cher - 3ème,19.30%
Johann Lucas,et Brahim Belmhand,Divers gauche,Oise - 3ème,2.97%
Pierrick COURBON,et Régis JUANICO,Divers gauche,Loire - 1ère,21.92%
Guillaume Marechal,et Franciane Baelden,Les républicains,Ardennes - 1ère,19.65%
TONY RENAULT,et CELINE MOUSSY,Divers centre,Val-De-Marne - 6ème,2.17%
Jean-Pierre MOUSSALLY,et Brigitte ROTAR,NUPES,Pas-De-Calais - 7ème,19.28%
Axelle Latrasse,et Sylvain Leclerc,Sans étiquette,Oise - 1ère,2.41%
Charles-henri Le billan,et Karine mazot,Divers gauche,Correze - 2ème,5.12%
Benoit maclin,et adeline kargue,Ensemble !,Drome - 2ème,20.07%
Xavier TROSSET,et Audrey Dumargne,Ensemble !,Savoie - 3ème,15.78%
Pedro Guanaes Netto,et Kenza Aghouchy,Divers gauche,Val-De-Marne - 11ème,0.21%
Richard Vacquer,et Aymeric Saint-Etienne,Divers gauche,Seine-Maritime - 1ère,0.35%
Florian Picod,et Lalie Deiber,Divers gauche,Français de l’étranger - 8ème,0.41%
Éric Schmitt,et Élise Benezech,Divers gauche,Haute-Garonne - 10ème,0.46%
Samir Lassoued,et Dalinda GORI,Divers gauche,Val-D'oise - 6ème,5.89%
Patrick Chabert,et Evelyne Delbos,Divers centre,Seine-Maritime - 3ème,3.64%
Arnaud Rennesson,et Vincenza Rennesson,Sans étiquette,Ardennes - 1ère,2.87%
Nicolas Bailly,et Nathalie Germano,Reconquête,Haute-Savoie - 4ème,4.04%
Mikaël Cabon,et Nadine Guillemot,Divers centre,Finistere - 2ème,3.82%
Vincent Defaud,et Gladys Céleste,NUPES,La Reunion - 2ème,4.51%
Bernadette Humeau,et Cyrille Guillot,Divers centre,Maine-Et-Loire - 6ème,12.24%
Diane Lagrange,et Stéphane Marec,Divers gauche,Yvelines - 5ème,0.83%
Yann CHAILLOU,et Caroline VOIGT,Divers gauche,Loiret - 2ème,4.18%
Luc Alonso,et Nicolas Boissel,Divers centre,Val-De-Marne - 6ème,1.33%
Christine de Cintré,et Vincent Duchaussoy,Divers gauche,Seine-Maritime - 1ère,11.12%
Aïcha FRITSCH,et Flavien ANCELY-FREY,NUPES,Haut-Rhin - 1ère,14.74%
Maël Egron,et Thierry Salaün,Sans étiquette,Ille-Et-Vilaine - 2ème,0.69%
Gautier ROULEAU,et Yannick JACQUEMIN,Union pour la France,Ille-Et-Vilaine - 1ère,0.95%
Peio DUFAU,et Françoise GALLOIS,Divers gauche,Pyrenees-Atlantiques - 6ème,14.55%
Valerie Ferrarini,et Harmand Jean- Claude,Ensemble !,Haute-Savoie - 3ème,22.90%
Jacques Forestier,et Anne Sophie Lefebvre,Les républicains,Seine-Maritime - 7ème,4.16%
Élodie Perrichon,et Alain Cabezas,Divers centre,Rhone - 9ème,2.88%
Céline FANFAN,et Laure-Isabelle ALTUN,Divers centre,Bouches-Du-Rhone - 11ème,1.27%
Pierre Leviaux,et Myriam Martin,Divers gauche,Isere - 10ème,0.71%
Antonin van der Straeten,et Nawaël Chassé,Divers gauche,Moselle - 4ème,0.46%
Ladislas Vergne,et Helene Charrier,Les républicains,Eure-Et-Loir - 1ère,8.81%
Stéphane SALORD,et Rosy INAUDI,NUPES,Bouches-Du-Rhone - 11ème,22.47%
Eric Laqua,et Thibault de Boisfossé,Reconquête,Eure-Et-Loir - 3ème,3.44%
